Entity,Year,Cardiovascular fatalities,Chronic kidney fatalities,Chronic liver fatalities,Chronic respiratory fatalities,Dementia fatalities,Diabetes fatalities,Diarrheal disease fatalities,Digestive disease fatalities,Forces of nature fatalities,HIV/AIDS fatalities,Interpersonal violence fatalities,Lower respiratory fatalities,Malaria fatalities,Measles fatalities,Neonatal disorder fatalities,Neoplasm fatalities,Nutritional deficiency fatalities,Parkinsons fatalities,Road injury fatalities,Self harm fatalities,Tuberculosis fatalities
Philippines,2012,172643.0,26596.0,0.0,29877.0,0.0,20767.0,0.0,24332.0,0.0,0.0,14218.0,54519.0,0.0,0.0,28607.0,63191.0,0.0,0.0,0.0,0.0,28135.0
Philippines,2013,177293.0,27959.0,0.0,30228.0,0.0,22048.0,0.0,24768.0,14246.0,0.0,0.0,55412.0,0.0,0.0,28146.0,65965.0,0.0,0.0,0.0,0.0,27641.0
Philippines,2014,182449.0,29284.0,0.0,30755.0,0.0,23285.0,0.0,25245.0,0.0,0.0,14268.0,56230.0,0.0,0.0,27530.0,68477.0,0.0,0.0,0.0,0.0,28665.0
Philippines,2015,189416.0,30839.0,0.0,31541.0,0.0,24690.0,0.0,25882.0,0.0,0.0,14694.0,58162.0,0.0,0.0,27006.0,71673.0,0.0,0.0,0.0,0.0,30132.0
Philippines,2016,193603.0,31698.0,0.0,32232.0,0.0,25551.0,0.0,26487.0,0.0,0.0,15184.0,58298.0,0.0,0.0,26639.0,74132.0,0.0,0.0,0.0,0.0,30722.0
Philippines,2017,197124.0,32242.0,0.0,32555.0,0.0,26238.0,0.0,27035.0,0.0,0.0,15521.0,58702.0,0.0,0.0,26106.0,76389.0,0.0,0.0,0.0,0.0,30527.0
Philippines,2018,200391.0,32766.0,0.0,32827.0,0.0,26962.0,0.0,27430.0,0.0,0.0,15425.0,58304.0,0.0,0.0,24599.0,78774.0,0.0,0.0,0.0,0.0,29776.0
Philippines,2019,204311.0,33358.0,0.0,33229.0,0.0,27680.0,0.0,27945.0,0.0,0.0,15570.0,58413.0,0.0,0.0,23673.0,81321.0,0.0,0.0,0.0,0.0,29181.0
Singapore,2000,5370.0,257.0,0.0,689.0,478.0,378.0,0.0,387.0,0.0,0.0,0.0,1585.0,0.0,0.0,0.0,4142.0,0.0,0.0,240.0,476.0,0.0
Singapore,2001,5320.0,267.0,0.0,663.0,500.0,409.0,0.0,383.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,4202.0,0.0,0.0,233.0,475.0,0.0
Singapore,2002,5313.0,275.0,0.0,646.0,519.0,416.0,0.0,391.0,0.0,0.0,0.0,1726.0,0.0,0.0,0.0,4257.0,0.0,0.0,226.0,474.0,0.0
Singapore,2003,5324.0,286.0,0.0,629.0,540.0,417.0,0.0,393.0,0.0,0.0,0.0,1830.0,0.0,0.0,0.0,4259.0,0.0,0.0,214.0,454.0,0.0
Singapore,2004,5344.0,306.0,0.0,619.0,561.0,435.0,0.0,399.0,0.0,0.0,0.0,1908.0,0.0,0.0,0.0,4351.0,0.0,0.0,207.0,450.0,0.0
Singapore,2005,5178.0,309.0,0.0,602.0,586.0,417.0,0.0,394.0,0.0,0.0,0.0,1917.0,0.0,0.0,0.0,4329.0,0.0,0.0,199.0,436.0,0.0
Singapore,2006,5236.0,336.0,0.0,592.0,621.0,409.0,0.0,403.0,0.0,0.0,0.0,1967.0,0.0,0.0,0.0,4468.0,0.0,0.0,203.0,444.0,0.0
Singapore,2007,5361.0,369.0,0.0,588.0,657.0,392.0,0.0,416.0,0.0,0.0,0.0,2051.0,0.0,0.0,0.0,4669.0,0.0,0.0,213.0,453.0,0.0
Singapore,2008,5476.0,402.0,0.0,588.0,698.0,351.0,0.0,430.0,0.0,0.0,0.0,2136.0,0.0,0.0,0.0,4897.0,0.0,0.0,223.0,472.0,0.0
Singapore,2009,5465.0,431.0,0.0,581.0,737.0,293.0,0.0,435.0,0.0,0.0,0.0,2214.0,0.0,0.0,0.0,5040.0,0.0,0.0,220.0,471.0,0.0
Singapore,2010,5523.0,468.0,0.0,587.0,781.0,250.0,0.0,450.0,0.0,0.0,0.0,2319.0,0.0,0.0,0.0,5220.0,0.0,0.0,210.0,465.0,0.0
Singapore,2011,5536.0,507.0,208.0,585.0,833.0,224.0,0.0,461.0,0.0,0.0,0.0,2412.0,0.0,0.0,0.0,5401.0,0.0,0.0,0.0,464.0,0.0
Singapore,2012,5674.0,565.0,214.0,596.0,902.0,0.0,0.0,477.0,0.0,0.0,0.0,2550.0,0.0,0.0,0.0,5651.0,0.0,0.0,205.0,476.0,0.0
Singapore,2013,5746.0,602.0,219.0,599.0,980.0,0.0,0.0,490.0,0.0,0.0,0.0,2687.0,0.0,0.0,0.0,5792.0,0.0,0.0,198.0,470.0,0.0
Singapore,2014,5855.0,631.0,225.0,610.0,1063.0,0.0,0.0,505.0,0.0,0.0,0.0,2814.0,0.0,0.0,0.0,5929.0,0.0,0.0,192.0,464.0,0.0
Singapore,2015,5963.0,663.0,230.0,621.0,1141.0,0.0,0.0,517.0,0.0,0.0,0.0,2929.0,0.0,0.0,0.0,6073.0,0.0,193.0,0.0,460.0,0.0
Singapore,2016,6089.0,692.0,235.0,637.0,1217.0,0.0,0.0,532.0,0.0,0.0,0.0,3045.0,0.0,0.0,0.0,6232.0,0.0,204.0,0.0,459.0,0.0
Singapore,2017,6225.0,717.0,237.0,657.0,1293.0,0.0,0.0,544.0,0.0,0.0,0.0,3166.0,0.0,0.0,0.0,6378.0,0.0,213.0,0.0,445.0,0.0
Singapore,2018,6534.0,734.0,245.0,709.0,1383.0,0.0,0.0,569.0,0.0,0.0,0.0,3331.0,0.0,0.0,0.0,6697.0,0.0,226.0,0.0,452.0,0.0
Singapore,2019,6810.0,758.0,253.0,750.0,1477.0,0.0,0.0,592.0,0.0,0.0,0.0,3471.0,0.0,0.0,0.0,7001.0,0.0,237.0,0.0,464.0,0.0
Thailand,2000,84185.0,14773.0,12796.0,23901.0,0.0,12621.0,0.0,20872.0,0.0,34113.0,0.0,0.0,0.0,0.0,0.0,72636.0,0.0,0.0,28444.0,0.0,11451.0
Thailand,2001,79669.0,14416.0,12618.0,22171.0,0.0,11567.0,0.0,20463.0,0.0,35471.0,0.0,11110.0,0.0,0.0,0.0,70081.0,0.0,0.0,27049.0,0.0,0.0
Thailand,2002,81240.0,15067.0,13145.0,22192.0,0.0,11544.0,0.0,21213.0,0.0,35798.0,0.0,11845.0,0.0,0.0,0.0,72423.0,0.0,0.0,27091.0,0.0,0.0
Thailand,2003,81296.0,15441.0,13548.0,22028.0,0.0,11274.0,0.0,21760.0,0.0,34901.0,0.0,12311.0,0.0,0.0,0.0,74255.0,0.0,0.0,26355.0,0.0,0.0
Thailand,2004,83785.0,15579.0,13604.0,22314.0,0.0,11601.0,0.0,22063.0,0.0,33089.0,0.0,12950.0,0.0,0.0,0.0,75922.0,0.0,0.0,24510.0,0.0,0.0
Thailand,2005,85153.0,15604.0,13627.0,22383.0,0.0,11679.0,0.0,22269.0,0.0,29303.0,0.0,13487.0,0.0,0.0,0.0,77591.0,0.0,0.0,22708.0,0.0,0.0
Thailand,2006,85479.0,16305.0,14125.0,22180.0,0.0,11904.0,0.0,23046.0,0.0,23476.0,0.0,14397.0,0.0,0.0,0.0,79434.0,0.0,0.0,21594.0,0.0,0.0
Thailand,2007,86180.0,17032.0,14607.0,22047.0,0.0,12113.0,0.0,23855.0,0.0,19395.0,0.0,15463.0,0.0,0.0,0.0,81637.0,0.0,0.0,20880.0,0.0,0.0
Thailand,2008,86876.0,17752.0,15017.0,21937.0,0.0,12305.0,0.0,24597.0,0.0,17638.0,0.0,16554.0,0.0,0.0,0.0,83758.0,0.0,0.0,20629.0,0.0,0.0
Thailand,2009,86890.0,18294.0,15293.0,21705.0,12485.0,0.0,0.0,25136.0,0.0,16590.0,0.0,17524.0,0.0,0.0,0.0,85440.0,0.0,0.0,20110.0,0.0,0.0
Thailand,2010,89053.0,19223.0,15863.0,21913.0,13132.0,0.0,0.0,26117.0,0.0,16261.0,0.0,18926.0,0.0,0.0,0.0,88792.0,0.0,0.0,20167.0,0.0,0.0
Thailand,2011,89282.0,19926.0,16249.0,21719.0,13732.0,0.0,0.0,26774.0,0.0,16044.0,0.0,20005.0,0.0,0.0,0.0,91007.0,0.0,0.0,19972.0,0.0,0.0
Thailand,2012,89655.0,20412.0,16649.0,21176.0,14401.0,0.0,0.0,27296.0,0.0,16875.0,0.0,21162.0,0.0,0.0,0.0,92723.0,0.0,0.0,19786.0,0.0,0.0
Thailand,2013,90755.0,20993.0,16968.0,20618.0,15192.0,0.0,0.0,27722.0,0.0,19269.0,0.0,22577.0,0.0,0.0,0.0,93810.0,0.0,0.0,19174.0,0.0,0.0
Thailand,2014,93587.0,21975.0,17545.0,20590.0,16083.0,0.0,0.0,28538.0,0.0,20839.0,0.0,24439.0,0.0,0.0,0.0,96260.0,0.0,0.0,19246.0,0.0,0.0
Thailand,2015,96931.0,23039.0,18077.0,20642.0,17050.0,0.0,0.0,29328.0,0.0,21103.0,0.0,26340.0,0.0,0.0,0.0,99068.0,0.0,0.0,19379.0,0.0,0.0
Thailand,2016,102483.0,24491.0,18827.0,21412.0,18144.0,0.0,0.0,30538.0,0.0,20543.0,0.0,28256.0,0.0,0.0,0.0,103557.0,0.0,0.0,19839.0,0.0,0.0
Thailand,2017,106585.0,25365.0,19105.0,22241.0,19228.0,0.0,0.0,31254.0,0.0,19544.0,0.0,29292.0,0.0,0.0,0.0,107299.0,0.0,0.0,19726.0,0.0,0.0
Thailand,2018,111404.0,26453.0,19343.0,23139.0,20380.0,18847.0,0.0,31943.0,0.0,0.0,0.0,30336.0,0.0,0.0,0.0,111493.0,0.0,0.0,19589.0,0.0,0.0
Thailand,2019,115830.0,27446.0,19603.0,23925.0,21553.0,19570.0,0.0,32635.0,0.0,0.0,0.0,31037.0,0.0,0.0,0.0,115544.0,0.0,0.0,19541.0,0.0,0.0
Vietnam,2000,149561.0,0.0,16378.0,27861.0,0.0,14081.0,0.0,23472.0,0.0,0.0,0.0,18914.0,0.0,0.0,16129.0,57718.0,0.0,0.0,15075.0,0.0,25011.0
Vietnam,2001,154546.0,0.0,16165.0,28451.0,0.0,14569.0,0.0,23105.0,0.0,0.0,0.0,19050.0,0.0,0.0,15208.0,59562.0,0.0,0.0,15764.0,0.0,24982.0
Vietnam,2002,159809.0,0.0,15954.0,29050.0,0.0,15091.0,0.0,22756.0,0.0,0.0,0.0,19300.0,0.0,0.0,14485.0,61556.0,0.0,0.0,16622.0,0.0,24902.0
Vietnam,2003,165575.0,0.0,15807.0,29728.0,0.0,15690.0,0.0,22524.0,0.0,0.0,0.0,19832.0,0.0,0.0,13953.0,63881.0,0.0,0.0,17618.0,0.0,24676.0
Vietnam,2004,171797.0,0.0,15658.0,30369.0,0.0,16298.0,0.0,22290.0,0.0,0.0,0.0,20369.0,0.0,0.0,13505.0,66406.0,0.0,0.0,18671.0,0.0,24434.0
Vietnam,2005,177831.0,0.0,15495.0,30926.0,0.0,16915.0,0.0,22025.0,0.0,0.0,0.0,20693.0,0.0,0.0,13119.0,68914.0,0.0,0.0,19666.0,0.0,24159.0
Vietnam,2006,183787.0,0.0,15323.0,31408.0,0.0,17533.0,0.0,21770.0,0.0,0.0,0.0,20893.0,0.0,0.0,12807.0,71515.0,0.0,0.0,20379.0,0.0,24034.0
Vietnam,2007,190399.0,0.0,15394.0,31736.0,12698.0,18243.0,0.0,21788.0,0.0,0.0,0.0,21139.0,0.0,0.0,0.0,74528.0,0.0,0.0,22260.0,0.0,23863.0
Vietnam,2008,196640.0,0.0,15583.0,31974.0,13204.0,18952.0,0.0,21948.0,0.0,0.0,0.0,21416.0,0.0,0.0,0.0,77482.0,0.0,0.0,24657.0,0.0,23549.0
Vietnam,2009,202621.0,0.0,16044.0,32102.0,13732.0,19625.0,0.0,22443.0,0.0,0.0,0.0,21607.0,0.0,0.0,0.0,80447.0,0.0,0.0,25436.0,0.0,23371.0
Vietnam,2010,207097.0,0.0,16562.0,32201.0,14283.0,20263.0,0.0,23012.0,0.0,0.0,0.0,21740.0,0.0,0.0,0.0,83110.0,0.0,0.0,25950.0,0.0,23104.0
Vietnam,2011,211557.0,0.0,17182.0,32596.0,14875.0,21179.0,0.0,23715.0,0.0,0.0,0.0,21788.0,0.0,0.0,0.0,85955.0,0.0,0.0,26173.0,0.0,22746.0
Vietnam,2012,215500.0,0.0,17903.0,33006.0,15479.0,22128.0,0.0,24543.0,0.0,0.0,0.0,21788.0,0.0,0.0,0.0,88853.0,0.0,0.0,26227.0,0.0,22296.0
Vietnam,2013,219272.0,0.0,18747.0,33414.0,16048.0,23104.0,0.0,25506.0,0.0,0.0,0.0,21982.0,0.0,0.0,0.0,91901.0,0.0,0.0,25443.0,0.0,21816.0
Vietnam,2014,222872.0,16987.0,19661.0,33943.0,0.0,24185.0,0.0,26579.0,0.0,0.0,0.0,21646.0,0.0,0.0,0.0,95150.0,0.0,0.0,25386.0,0.0,21401.0
Vietnam,2015,225569.0,17872.0,20464.0,34289.0,0.0,25168.0,0.0,27510.0,0.0,0.0,0.0,21572.0,0.0,0.0,0.0,98218.0,0.0,0.0,25154.0,0.0,20803.0
Vietnam,2016,228957.0,18835.0,21346.0,34806.0,0.0,26317.0,0.0,28557.0,0.0,0.0,0.0,21492.0,0.0,0.0,0.0,101684.0,0.0,0.0,24911.0,0.0,20233.0
Vietnam,2017,232646.0,19713.0,22272.0,35312.0,0.0,27285.0,0.0,29680.0,0.0,0.0,0.0,21460.0,0.0,0.0,0.0,105181.0,0.0,0.0,24648.0,0.0,19653.0
Vietnam,2018,236471.0,20621.0,22975.0,35785.0,0.0,28358.0,0.0,30515.0,0.0,0.0,0.0,21408.0,0.0,0.0,0.0,108902.0,0.0,0.0,24401.0,0.0,19129.0
Vietnam,2019,240161.0,21485.0,23637.0,36229.0,19460.0,29391.0,0.0,31306.0,0.0,0.0,0.0,21345.0,0.0,0.0,0.0,112564.0,0.0,0.0,24153.0,0.0,0.0
