Entity,Code_x,Year,Meningitis fatalities,Dementia fatalities,Parkinsons fatalities,Nutritional deficiency fatalities,Malaria fatalities,Drowning fatalities,Interpersonal violence fatalities,Maternal disorder fatalities,HIV/AIDS fatalities,Drug disorder fatalities,Tuberculosis fatalities,Cardiovascular fatalities,Lower respiratory fatalities,Neonatal disorder fatalities,Alcohol disorder fatalities,Self harm fatalities,Forces of nature fatalities,Diarrheal disease fatalities,Environmental exposure fatalities,Neoplasm fatalities,Conflict fatalities,Diabetes fatalities,Chronic kidney fatalities,Poisoning fatalities,Protein energy malnutrition fatalities,Road injury fatalities,Chronic respiratory fatalities,Chronic liver fatalities,Digestive disease fatalities,Fire fatalities,Acute hepatitis fatalities,Measles fatalities,Total Deaths,UHC Service Coverage Index (SDG 3.8.1)
Singapore,SGP,2006,9,621,120,1,0,22,31,4,37,9,76,5236,1967,39,8,444,0,17,2,4468,0,409,336,4,0,203,592,176,403,11,1,0,15246,72.420816
Singapore,SGP,2007,9,657,127,1,0,23,33,4,51,10,75,5361,2051,39,9,453,0,17,2,4669,0,392,369,4,1,213,588,184,416,11,1,0,15770,74.700592
Singapore,SGP,2008,9,698,134,1,0,23,36,3,44,10,71,5476,2136,41,10,472,0,18,2,4897,0,351,402,4,1,223,588,192,430,11,1,0,16284,76.980368
Singapore,SGP,2009,8,737,140,1,0,23,30,2,47,10,68,5465,2214,41,10,471,0,19,2,5040,0,293,431,4,1,220,581,194,435,11,1,0,16499,79.260144
Singapore,SGP,2010,7,781,148,1,0,22,33,2,38,11,65,5523,2319,40,10,465,0,21,2,5220,0,250,468,4,1,210,587,201,450,11,1,0,16891,81.53992
Singapore,SGP,2011,7,833,155,1,0,21,29,3,22,12,62,5536,2412,43,10,464,0,23,2,5401,0,224,507,3,1,206,585,208,461,11,1,0,17243,82.540326
Singapore,SGP,2012,6,902,165,1,0,21,22,2,43,13,60,5674,2550,42,11,476,0,24,2,5651,0,185,565,3,1,205,596,214,477,12,1,0,17924,83.54073199999999
Singapore,SGP,2013,5,980,174,1,0,20,22,1,49,13,57,5746,2687,38,11,470,0,27,2,5792,0,166,602,3,1,198,599,219,490,12,2,0,18387,84.541138
Singapore,SGP,2014,5,1063,185,1,0,18,22,2,52,14,56,5855,2814,36,12,464,0,29,2,5929,0,155,631,3,1,192,610,225,505,12,1,0,18894,85.541544
Singapore,SGP,2015,5,1141,193,1,0,19,22,2,36,15,53,5963,2929,35,12,460,0,31,2,6073,0,148,663,3,1,186,621,230,517,12,1,0,19374,86.54195
Singapore,SGP,2016,5,1217,204,1,0,19,25,2,32,15,52,6089,3045,35,12,459,0,33,2,6232,0,147,692,3,1,180,637,235,532,12,1,0,19919,87.0726
Singapore,SGP,2017,4,1293,213,2,0,17,26,1,37,15,51,6225,3166,33,12,445,0,34,2,6378,0,149,717,3,1,172,657,237,544,12,1,0,20447,87.60325
Singapore,SGP,2018,5,1383,226,2,0,17,24,2,36,15,55,6534,3331,31,13,452,0,35,2,6697,0,166,734,3,1,170,709,245,569,12,1,0,21470,87.74953
Singapore,SGP,2019,5,1477,237,2,0,17,25,2,36,16,58,6810,3471,30,13,464,0,36,2,7001,0,179,758,3,1,168,750,253,592,13,1,0,22420,87.89581
Thailand,THA,2000,1444,8285,1845,1144,318,6403,9401,917,34113,547,11451,84185,11028,5814,918,10272,109,5311,38,72636,15,12621,14773,339,993,28444,23901,12796,20872,673,275,243,382124,43.18711
Thailand,THA,2001,1504,8522,1768,964,233,6431,8890,834,35471,536,10385,79669,11110,5455,821,9696,222,5123,36,70081,36,11567,14416,328,841,27049,22171,12618,20463,666,246,217,368369,46.38342
Thailand,THA,2002,1608,8930,1837,885,182,6619,8626,830,35798,542,9795,81240,11845,5122,783,9636,190,5088,37,72423,39,11544,15067,331,773,27091,22192,13145,21213,688,234,199,374532,49.57973
Thailand,THA,2003,1652,9292,1874,807,187,6444,8366,772,34901,530,9140,81296,12311,4828,750,9344,9,5012,37,74255,32,11274,15441,326,705,26355,22028,13548,21760,694,217,191,374378,52.77604
Thailand,THA,2004,1472,9838,2046,801,135,5879,7323,636,33089,486,8991,83785,12950,4591,702,8427,8375,5046,39,75922,342,11601,15579,290,711,24510,22314,13604,22063,651,246,190,382634,55.972350000000006
Thailand,THA,2005,1337,10357,2184,787,155,5557,6608,523,29303,448,8706,85153,13487,4313,667,7633,68,5054,41,77591,624,11679,15604,261,707,22708,22383,13627,22269,613,276,186,370909,59.16866
Thailand,THA,2006,1270,10847,2288,769,146,5500,6249,519,23476,425,8615,85479,14397,4105,651,7488,298,5089,39,79434,735,11904,16305,250,696,21594,22180,14125,23046,622,263,183,368987,60.871218
Thailand,THA,2007,1231,11384,2404,758,170,5473,6019,519,19395,401,8493,86180,15463,3976,641,7409,53,5132,39,81637,782,12113,17032,242,689,20880,22047,14607,23855,635,261,180,370100,62.573776
Thailand,THA,2008,1176,11944,2519,750,135,5391,5662,493,17638,373,8320,86876,16554,3726,630,7256,39,5145,38,83758,496,12305,17752,232,685,20629,21937,15017,24597,641,259,179,373152,64.276334
Thailand,THA,2009,1125,12485,2605,738,124,5290,5266,459,16590,347,8112,86890,17524,3339,616,7039,18,5128,37,85440,530,12370,18294,219,676,20110,21705,15293,25136,706,257,184,374652,65.978892
Thailand,THA,2010,1102,13132,2752,745,131,5255,5154,438,16261,341,8137,89053,18926,2959,619,7029,297,5190,37,88792,515,12761,19223,213,684,20167,21913,15863,26117,652,258,188,384904,67.68145
Thailand,THA,2011,1068,13732,2823,734,99,5146,5100,409,16044,339,8009,89282,20005,2764,616,6924,796,5214,36,91007,579,13018,19926,205,675,19972,21719,16249,26774,651,255,180,390350,69.28125
Thailand,THA,2012,1049,14401,2891,740,70,5009,5127,398,16875,341,7828,89655,21162,2679,614,6845,141,5251,37,92723,527,13451,20412,199,682,19786,21176,16649,27296,652,246,167,395079,70.88105
Thailand,THA,2013,1012,15192,2995,765,81,4819,5050,364,19269,340,7641,90755,22577,2468,606,6650,85,5322,37,93810,547,14081,20993,191,708,19174,20618,16968,27722,682,233,160,401915,72.48084999999999
Thailand,THA,2014,1016,16083,3145,794,68,4654,4164,352,20839,349,7552,93587,24439,2385,611,6689,33,5478,102,96260,281,15059,21975,151,739,19246,20590,17545,28538,647,220,161,413752,74.08064999999999
Thailand,THA,2015,1021,17050,3321,824,7,4613,4167,322,21103,368,7506,96931,26340,2302,615,6806,4,5664,42,99068,174,16137,23039,153,772,19379,20642,18077,29328,657,200,159,426791,75.68045
Thailand,THA,2016,1048,18144,3543,865,6,4744,4164,316,20543,398,7615,102483,28256,2292,629,7025,33,5849,58,103557,174,17385,24491,157,816,19839,21412,18827,30538,693,203,117,446220,78.20264499999999
Thailand,THA,2017,1038,19228,3714,909,2,4643,4118,297,19544,425,7658,106585,29292,1988,631,7090,150,6014,44,107299,115,18017,25365,156,856,19726,22241,19105,31254,676,198,105,458483,80.72484
Thailand,THA,2018,1040,20380,3912,953,2,4587,4097,288,18405,459,7731,111404,30336,1820,631,7149,0,6110,44,111493,236,18847,26453,156,897,19589,23139,19343,31943,683,195,104,472426,81.41733500000001
Thailand,THA,2019,1037,21553,4082,992,1,4519,4035,282,17215,486,7775,115830,31037,1692,634,7107,7,6211,44,115544,60,19570,27446,155,934,19541,23925,19603,32635,687,193,104,484936,82.10983
Vietnam,VNM,2000,1297,9640,2162,1548,1312,6882,1726,407,3767,501,25011,149561,18914,16129,531,5851,592,3978,109,57718,0,14081,10580,1238,239,15075,27861,16378,23472,548,1028,5194,423330,36.98556
Vietnam,VNM,2001,1264,9990,2250,1518,1260,6801,1731,397,4432,522,24982,154546,19050,15208,552,5951,392,3651,107,59562,7,14569,10650,1228,220,15764,28451,16165,23105,548,995,4934,430802,38.396498
Vietnam,VNM,2002,1241,10369,2348,1503,973,6738,1710,389,5147,542,24902,159809,19300,14485,576,6075,147,3371,103,61556,0,15091,10764,1209,206,16622,29050,15954,22756,608,966,4608,439118,39.807436
Vietnam,VNM,2003,1266,10783,2462,1514,906,6903,1678,384,5900,566,24676,165575,19832,13953,601,6220,128,3195,101,63881,29,15690,10939,1201,201,17618,29728,15807,22524,557,948,3075,448841,41.218374
Vietnam,VNM,2004,1289,11232,2584,1522,638,7021,1633,381,6657,590,24434,171797,20369,13505,627,6367,189,3033,98,66406,0,16298,11108,1193,196,18671,30369,15658,22290,565,933,1659,459312,42.629312
Vietnam,VNM,2005,1278,11708,2712,1512,523,6970,1584,375,7382,609,24159,177831,20693,13119,651,6497,308,2854,95,68914,6,16915,11263,1176,189,19666,30926,15495,22025,566,912,1358,470271,44.04025
Vietnam,VNM,2006,1246,12200,2843,1490,674,6794,1579,367,7891,620,24034,183787,20893,12807,669,6573,579,2699,92,71515,5,17533,11508,1146,181,20379,31408,15323,21770,562,886,1281,481334,47.030366
Vietnam,VNM,2007,1214,12698,2980,1472,453,6533,1610,362,7901,645,23863,190399,21139,12619,696,6706,326,2545,90,74528,5,18243,11892,1132,174,22260,31736,15394,21788,560,863,1447,494273,50.020482
Vietnam,VNM,2008,1184,13204,3116,1448,338,6325,1651,359,7451,675,23549,196640,21416,12400,722,6826,406,2401,88,77482,0,18952,12345,1120,168,24657,31974,15583,21948,556,837,1401,507222,53.010598
Vietnam,VNM,2009,1155,13732,3243,1418,432,6157,1612,356,6728,708,23371,202621,21607,12185,743,6969,360,2279,87,80447,2,19625,12926,1108,161,25436,32102,16044,22443,557,815,1282,518711,56.000714
Vietnam,VNM,2010,1027,14283,3362,1379,398,6101,1589,347,6848,740,23104,207097,21740,11801,762,7051,221,2164,86,83110,2,20263,13517,1097,154,25950,32201,16562,23012,561,790,805,528124,58.99083
Vietnam,VNM,2011,987,14875,3484,1334,299,6051,1563,334,7583,777,22746,211557,21788,11345,782,7141,138,2062,86,85955,2,21179,14284,1096,146,26173,32596,17182,23715,563,769,529,539121,60.838494000000004
Vietnam,VNM,2012,954,15479,3604,1280,298,6085,1574,321,7686,824,22296,215500,21788,10735,808,7273,72,1970,85,88853,4,22128,15118,1100,138,26227,33006,17903,24543,570,749,381,549352,62.686158000000006
Vietnam,VNM,2013,987,16048,3710,1221,217,6076,1582,311,7502,880,21816,219272,21982,10066,839,7442,215,1888,85,91901,10,23104,16026,1113,129,25443,33414,18747,25506,575,735,480,559322,64.533822
Vietnam,VNM,2014,890,16671,3818,1158,176,6135,1333,300,7333,933,21401,222872,21646,9475,869,7621,38,1846,85,95150,4,24185,16987,908,121,25386,33943,19661,26579,585,728,562,569399,66.38148600000001
Vietnam,VNM,2015,870,17223,3902,1093,84,6222,1335,286,7271,983,20803,225569,21572,8848,897,7744,52,1806,85,98218,6,25168,17872,918,113,25154,34289,20464,27510,592,719,149,577817,68.22915
Vietnam,VNM,2016,839,17827,3998,1029,45,6235,1328,271,7049,1038,20233,228957,21492,8216,928,7878,162,1774,84,101684,4,26317,18835,925,106,24911,34806,21346,28557,611,711,137,588333,69.22421
Vietnam,VNM,2017,809,18405,4084,966,68,6206,1309,256,6761,1088,19653,232646,21460,7583,955,7997,284,1759,83,105181,8,27285,19713,930,99,24648,35312,22272,29680,601,703,131,598935,70.21927
Vietnam,VNM,2018,778,18959,4177,960,61,6167,1289,244,6499,1136,19129,236471,21408,6978,979,8072,134,1712,83,108902,3,28358,20621,933,97,24401,35785,22975,30515,618,688,159,609291,69.840865
Vietnam,VNM,2019,747,19460,4259,954,59,6098,1267,234,6399,1176,18681,240161,21345,6468,1000,8114,5,1672,82,112564,0,29391,21485,935,95,24153,36229,23637,31306,608,674,212,619470,69.46246
